Heat 3 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,72,Feras Qartoumy,TRACK MODIFIED - RWD,56.402,Corvette
2,626,Cody Miles,TRACK MODIFIED - AWD,58.646,STi
3,86,Jackie Ding,STREET MODIFIED - RWD,59.187,Supra #TA90
4,281,Casey Jones,UNLIMITED - RWD,59.816,Corvette
5,206,Dalton Klein,TRACK MODIFIED - RWD,1:00.769,Corvette Z06
6,607,Chris Gladu,STREET MODIFIED - AWD,1:01.891,STi
7,194,Christopher Mayfield,STREET MODIFIED - RWD,1:01.940,M3
8,183,Mark Melchior,STREET MODIFIED - RWD,1:01.954,M3
9,128,Joshua Hanger,STREET MODIFIED - RWD,1:02.071,RX-7
10,150,Alexander Moss,STREET MODIFIED - RWD,1:02.238,S2000
11,717,Andrew Cleaver,STREET - AWD,1:02.584,Model 3
12,6,Michael Aumick,STREET MODIFIED - AWD,1:02.981,STI
13,55,Charles Miller,STREET - AWD,1:03.022,Evo IX
14,335,Christopher Bickford,STREET GT - RWD,1:03.093,Corvette
15,54,Hsun Chen,STREET GT - RWD,1:03.218,M3
16,66,Ben Thorn,STREET - FWD,1:03.391,Civic
17,28,Peter Zhang,STREET MODIFIED - AWD,1:03.527,Impreza WRX
18,218,Matthew Thompson,TRACK MODIFIED - RWD,1:03.625,Mustang
19,437,Cory Ross,TRACK MODIFIED - RWD,1:03.951,M3
20,426,Adam Wood,STREET - AWD,1:03.973,Impreza
21,34,Austin Hertel,STREET - RWD,1:04.052,370z
22,184,William Rengel,STREET MODIFIED - RWD,1:04.084,Miata
23,246,Josh Tenge,STREET - AWD,1:04.286,ttrs
24,118,Jason Owens,STREET - FWD,1:04.510,Civic Si
25,16,Alex Peitz,STREET GT - RWD,1:04.621,Corvette
26,523,Scott Musgrove,UNLIMITED - AWD,1:04.870,STI
27,108,Jeanette Negri,STREET MODIFIED - RWD,1:05.210,BRZ
28,13,Jerami Bailey,STREET MODIFIED - RWD,1:05.341,FRS
29,255,Ryan Seiler,STREET MODIFIED - RWD,1:05.525,S2000
30,187,Nick Stentiford,STREET - RWD,1:05.591,Silvia
31,78,Kash Singh,UNLIMITED - RWD,1:05.616,GT
32,181,Ryan Sotak,STREET MODIFIED - RWD,1:05.660,325is
33,119,Brandon Oglesby,STREET MODIFIED - RWD,1:06.083,135i
34,92,Kait Schirado,STREET GT - AWD,1:06.118,335i X-drive
35,104,JV Hernandez,TRACK MODIFIED - RWD,1:06.264,Miata
36,731,David Vong,STREET MODIFIED - RWD,1:06.280,FRS
37,14,Kal Fortner,STREET - RWD,1:06.346,BRZ
38,210,Randie Gray,STREET MODIFIED - AWD,1:06.380,WRX
39,101,Danny Chaimovitz,STREET GT - AWD,1:06.470,Model 3
40,27,Ken Devriese,STREET - RWD,1:06.510,S2000
41,137,Dustin McDaniel,STREET - RWD,1:06.730,BRZ
42,209,Dominick Tapia,STREET - FWD,1:07.039,Civic hatchback
43,551,Michael Pagano,STREET MODIFIED - RWD,1:07.044,135i
44,667,Cassidy Coghlin,STREET - FWD,1:07.127,Cooper S
45,100,Vincent Miller,STREET - FWD,1:07.169,Civic Si
46,355,Alice Stern,STREET - AWD,1:07.440,STi
47,313,Nathaniel Eaton,TRACK MODIFIED - RWD,1:07.441,350z
48,138,David Bruner,STREET - RWD,1:07.608,350Z
49,38,Ernestas Puzelis,TRACK MODIFIED - RWD,1:07.681,370z
50,111,Chris Scheidecker,STREET - RWD,1:07.930,S2000
51,26,Christopher Lathrop,STREET MODIFIED - AWD,1:08.565,Mazdaspeed 6
52,669,Austin Shipley,STREET - FWD,1:08.601,Civic Type R
53,981,Saman Ahmadi,STREET MODIFIED - RWD,1:08.942,BRZ
54,127,Jesse Shapiro,STREET - RWD,1:08.983,MX-5 Miata
55,461,Luccia Cafiero,STREET MODIFIED - AWD,1:09.101,STi
56,303,Ryan Dussex,STREET - FWD,1:09.370,Civic
57,178,Loren Southard,TRACK MODIFIED - RWD,1:09.554,GT500
58,69,Kevin Hardin,STREET - RWD,1:09.725,350z
59,410,Seth Confer,STREET - FWD,1:09.926,Neon
60,219,Brett Bouwer,STREET MODIFIED - AWD,1:10.759,Wrx sti
61,710,Steven Graham,STREET - FWD,1:10.800,Civic Si
62,711,Kieran O'Callaghan,TRACK MODIFIED - RWD,1:11.164,240sx
63,366,Kane Jacobs,STREET - RWD,1:11.174,S2000
64,95,Robert Vierhout,STREET - RWD,1:11.271,350z
65,47,Nicholas Lucchesi,STREET - FWD,1:11.968,Civic
66,221,Joseph King,TRACK MODIFIED - FWD,1:12.408,Festiva
67,139,Kevin Head,SUNDAE CUP / SPECFIT - FWD,1:14.283,Fit
68,142,Juan Johnson,STREET MODIFIED - RWD,1:14.376,S2000
69,68,Daniel Montanez,STREET - RWD,1:15.664,BRZ
70,787,richard soukhavong,STREET - RWD,1:15.783,Miata
71,188,Erich Pfalzgraf,UNLIMITED - RWD,1:15.837,Miata
72,136,Ben Ryan,UNLIMITED - RWD,8:34.856,325
73,387,Enrique Martinez,STREET MODIFIED - RWD,,M3
74,134,Henry Broddle,STREET MODIFIED - RWD,,MR2
