Heat 5 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,206,Dalton Klein,TRACK MODIFIED- RWD,59.812,Corvette
2,520,Adam LZ,STREET MODIFIED- AWD,1:01.324,Lancer
3,437,Cory Ross,TRACK MODIFIED- RWD,1:01.515,M3
4,228,Daniel Moore,STREET MODIFIED- FWD,1:02.269,Civic
5,14,Kal Fortner,STREET MODIFIED- RWD,1:02.274,GTS
6,109,Dana Basinski,CLUB TR - RWD,1:02.360,BRZ
7,310,Mike Coons,STREET - AWD,1:02.750,Impreza
8,511,Peter Granberg,CLUB TR - RWD,1:03.020,BRZ
9,56,Jake Graham,TRACK MODIFIED- AWD,1:03.024,WRX
10,660,Dan Walker,STREET MODIFIED- AWD,1:04.010,Impreza
11,225,Mat Beck,TRACK MODIFIED- RWD,1:04.033,Silvia
12,610,Fez Babar,CLUB TR - RWD,1:04.427,GR86
13,654,Nick Aegerter,STREET - AWD,1:04.543,Focus
14,595,Dustin Williams,TRACK MODIFIED- AWD,1:04.583,Silvia
15,59,Vincent Miller,STREET GT - RWD,1:05.022,Camaro
16,199,Ian Flavin,CLUB TR - RWD,1:05.894,BRZ
17,78,Kash Singh,UNLIMITED - RWD,1:06.077,Mustang
18,202,Austin Butt,CLUB TR - RWD,1:06.309,S2000
19,355,Alice Stern,STREET - AWD,1:06.342,Impreza
20,869,Kevin Vo,CLUB TR - RWD,1:06.443,FR-S
21,41,Foster Johnson,CLUB TR - RWD,1:06.448,S2000
22,194,Michael Callaway,STREET - AWD,1:07.297,Impreza
23,20,Art Dvortsen,CLUB TR - RWD,1:07.325,MX-5 Miata
24,934,Cameron Boers,STREET - FWD,1:07.528,GTI
25,57,Thomas Martinez,STREET GT - RWD,1:07.777,2 Series
26,46,Ru Cheddie,STREET - RWD,1:08.499,M3
27,257,Josh Plemons,TRACK MODIFIED- AWD,1:09.330,WRX
28,369,Lucas Urban,SUNDAE CUP - FWD,1:09.477,Escort ZX2
29,97,Elijah Salberg,CLUB TR - RWD,1:10.019,328
30,37,Michael Dean,STREET MODIFIED- AWD,1:10.352,Impreza
31,237,Geoffrey Hamilton,TRACK MODIFIED- RWD,1:10.356,325
32,43,Alan Lehman,STREET - FWD,1:10.364,CRX
33,68,Daniel Montanez,CLUB TR - RWD,1:11.266,BRZ
34,708,Ricky Medel,STREET MODIFIED- RWD,1:11.355,Shelby GT500
35,487,OnGrid X HOTLAP,SUNDAE CUP - FWD,1:12.183,Fit
36,119,Ted Xavier,CLUB TR - RWD,1:12.195,124 Spider
37,959,Loren Southard,UNLIMITED - RWD,1:12.245,944
38,594,Rory Lonergan,SUNDAE CUP - FWD,1:12.657,Fit
39,239,Sean O'Brine,STREET - FWD,1:14.082,Integra
40,969,Pete Lindberg,SUNDAE CUP - FWD,1:14.237,Coupe
41,256,Nathan Jones,STREET - FWD,1:16.130,SC
42,47,Nick Lucchesi,STREET - FWD,1:16.273,Civic
43,999,Daniel Escobar,STREET MODIFIED- FWD,1:17.476,Civic
44,26,Christopher Lathrop,TRACK MODIFIED- AWD,,MazdaSpeed6
