Heat 4 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,72,Feras Qartoumy,UNLIMITED - RWD,53.233,Corvette
2,577,Mike McGinnis,TRACK MOD - AWD,58.160,GTR
3,772,Derek Boyd,UNLIMITED - AWD,58.293,Evo X
4,458,Team Dangerous Enterprises,UNLIMITED - AWD,58.424,GT-R
5,150,Alex Moss,STREET MOD - RWD,58.750,S2000
6,70,Dewey DeWitt,STREET MOD - AWD,59.351,Impreza L (Boogeyman)
7,131,Michael Forsythe,TRACK MOD - RWD,59.844,S2000
8,303,Alexander England,UNLIMITED - FWD,1:00.431,S3
9,6,Michael Aumick,STREET MOD - AWD,1:00.621,Sti
10,207,Adam Wood,STREET - AWD,1:02.500,Impreza
11,437,Cory Ross,TRACK MOD - RWD,1:02.629,M3
12,2,Ryan Dussex,UNLIMITED - AWD,1:02.846,Impreza
13,224,Charlie Whitney,UNLIMITED - FWD,1:02.946,Festiva
14,919,Gregory Paine,STREET GT - RWD,1:03.137,Shelby GT350R
15,721,Micah Evonitz,STREET GT - RWD,1:03.249,Corvette ZO6
16,78,Kash Singh,UNLIMITED - RWD,1:03.364,Mustang
17,55,Charles Miller,STREET - AWD,1:03.402,Evo 9
18,66,Ben Thorn,CLUB TR - FWD,1:03.452,Civic
19,13,Jerami Bailey,STREET MOD - RWD,1:03.603,Frs
20,246,Josh Tenge,UNLIMITED - AWD,1:03.661,TTRS
21,310,Mike Coons,STREET - AWD,1:03.692,Impreza WRX STI
22,218,Matthew Thompson,TRACK MOD - RWD,1:03.874,Mustang
23,727,Trey Tyler,STREET - AWD,1:04.030,WRX STI
24,14,Kal Fortner,STREET MOD - AWD,1:04.411,S4
25,834,Andrew Voelkel,STREET GT - RWD,1:04.424,Corvette C8
26,332,Rick Ansay,STREET GT - AWD,1:04.610,RS3
27,210,Randie Gray,STREET MOD - AWD,1:04.662,WRX
28,511,Peter Granberg,STREET MOD - RWD,1:04.705,BRZ
29,206,Dalton Klein,TRACK MOD - RWD,1:04.891,corvette
30,669,Austin Shipley,STREET GT - RWD,1:05.051,Supra
31,396,Tyler Starr,TRACK MOD - RWD,1:05.166,FRS
32,234,Brad Riemann,STREET - AWD,1:05.280,Focus RS
33,315,Corey Kononchuk,STREET - RWD,1:05.325,4C
34,355,Alice Stern,STREET - AWD,1:05.461,STi
35,527,Jackson Jensen,CLUB TR - RWD,1:05.486,S2000
36,469,Rich Enriquez,STREET GT - RWD,1:05.599,Supra
37,461,Luccia Cafiero,STREET MOD - AWD,1:05.724,STi
38,595,Dustin Williams,TRACK MOD - RWD,1:06.021,S2000
39,108,Daniel Walker,STREET MOD - RWD,1:06.169,BRZ
40,26,Christopher Lathrop,TRACK MOD - AWD,1:06.585,Mazdaspeed 6
41,736,Cody Smith,STREET MOD - RWD,1:06.693,Cutlass
42,209,Dominick Tapia,STREET - FWD,1:06.706,Civic hatch
43,889,Brian Reilly,TRACK MOD - RWD,1:06.708,Miata
44,965,Jaryd Thomson,TRACK MOD - FWD,1:06.710,GTI
45,711,Kieran O'Callaghan,UNLIMITED - RWD,1:06.819,240sx
46,227,Dave Stock,SUPER UNLIMITED - RWD,1:06.920,M3
47,976,Wes Case,UNLIMITED - RWD,1:07.095,M3
48,999,Daniel Escobar,STREET MOD - FWD,1:07.327,Civic si
49,423,Jeffrey Tattershall,CLUB TR - FWD,1:07.440,CRX
50,317,TGA Performance,STREET - AWD,1:07.533,WRX
51,810,Matthew Overstreet,CLUB TR - FWD,1:07.934,Fiesta ST
52,142,Juan Johnson,CLUB TR - RWD,1:07.937,S2000
53,237,Geoffrey Hamilton,TRACK MOD - RWD,1:08.045,325i
54,410,Seth Confer,CLUB TR - FWD,1:08.996,CRX SI
55,434,Alan Lehman,STREET - FWD,1:09.608,TL
56,264,Nathan Jones,STREET - RWD,1:09.626,G35
57,239,Sean O'Brine,STREET MOD - RWD,1:09.744,IS300
58,369,Lucas Urban,TRACK MOD - FWD,1:09.800,Escort Zx2
59,223,Chelsea Tattershall,STREET GT - RWD,1:10.084,370z
60,197,Kendall Samuel,UNLIMITED - AWD,1:10.579,Impreza
61,47,Nicholas Lucchesi,STREET - FWD,1:10.926,Civic
62,68,Daniel Montanez,CLUB TR - AWD,1:11.122,BRZ
63,229,James Immormino,STREET - FWD,1:12.308,Prelude
64,48,Torry Skurski,STREET - RWD,1:12.326,328i
65,139,Team Brap,SUNDAE CUP - FWD,1:12.705,Fit
66,411,Hard Times Racing,SUNDAE CUP - FWD,1:12.775,Fit
67,219,Brett Bouwer,STREET MOD - AWD,1:13.974,WRX STI
68,926,James Morgan,SUNDAE CUP - FWD,1:14.643,Fit
69,138,David Bruner,UNLIMITED - RWD,1:15.706,Miata
70,254,Dusty Michael,SUNDAE CUP - FWD,1:17.084,Fit
71,,,,,
74,,,,,
