Heat 5 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,281,Casey Jones,UNLIMITED - RWD,1:49.021,Corvette
2,86,Jackie Ding,STREET MODIFIED - RWD,1:49.275,Supra #TA90
3,110,Chet Moseley,STREET GT - RWD,1:50.161,Corvette
4,6,Michael Aumick,STREET MODIFIED - AWD,1:51.322,STI
5,100,Chase Johnston,STREET MODIFIED - RWD,1:52.007,S2000
6,335,Christopher Bickford,STREET GT - RWD,1:54.726,Corvette
7,717,Drew Cleaver,TRACK MODIFIED - AWD,1:55.627,Model 3
8,35,Alex Westergaard,STREET MODIFIED - RWD,1:55.906,S2000
9,291,Chad Ross,TRACK MODIFIED - RWD,1:56.007,Corvette
10,22,Jeremy Boysen,STREET GT - RWD,1:56.218,C8
11,233,Wilbur Huang,STREET GT - RWD,1:57.062,M4
12,13,Jerami Bailey,STREET MODIFIED - RWD,1:58.228,FRS
13,808,Chong Lor,STREET - FWD,1:58.764,Civic Type R
14,401,SuperK Retirement Project,STREET MODIFIED - RWD,1:59.180,S2000
15,50,Phil Grabow,UNLIMITED - RWD,1:59.203,911
16,125,Kevin Head,STREET MODIFIED - RWD,1:59.966,RX-7
17,27,Ken Devriese,STREET - RWD,2:00.536,S2000
18,57,Andrew Hayes,STREET - RWD,2:00.997,M3
19,46,Nehru Cheddie,STREET - RWD,2:01.688,M3
20,14,Kal Fortner,STREET MODIFIED - AWD,2:01.815,S4
21,197,Mechanical Advantage Unlimited,UNLIMITED - AWD,2:02.818,Sti
22,38,Ernestas Puzelis,TRACK MODIFIED - RWD,2:03.606,370z
23,141,Lisa Keyes,STREET - FWD,2:03.607,Civic
24,860,Joshua Garcia,TRACK MODIFIED - RWD,2:04.427,Corolla
25,556,Anthony Bui,STREET MODIFIED - RWD,2:06.902,S2000
26,96,Johnny Cichowski,UNLIMITED - RWD,2:07.119,Miata
27,182,Ethan Swindel,STREET - FWD,2:07.837,Integra
28,44,Joel Phillips,UNLIMITED - RWD,2:07.903,C63
29,312,Mikey Singhaseni,STREET - FWD,2:08.087,TSX
30,651,Charlie Moua,STREET - FWD,2:09.227,Civic
31,103,James Sisson,STREET GT - RWD,2:09.287,Corvette
32,129,Matt Williams,SUNDAE CUP / SPECFIT - FWD,2:12.595,Fit
33,89,John Zepeda,STREET - FWD,2:12.603,Civic Si
34,139,Team Brap,SUNDAE CUP / SPECFIT - FWD,2:13.897,Fit
35,361,Dustin Nixon,TRACK MODIFIED - RWD,2:17.225,Camaro
